Pregunta|Intencion
cobro mantenimiento|Cat_97
me descontaron el total de la tarjeta american expres y queria pagar el minimo|Cat_350
alguna simulación de préstamos tienen?|Cat_251
queria saber cómo es el descuento en recarga de tarjeta saeta?|Cat_311
te consulto porque quiero hacer un canje de puntos|Cat_322
me enviaron fondos desde el exterior y no están en mi cuenta|Cat_33
el work and coffe de garay está abierto?|Cat_149
puedo solicitar el préstamo personal para hacer un viaje?|Cat_228
no puedo imprimir lo comprobantes de pago|Cat_98
valor de paquetes|Cat_96
quisiera saber si puedo tener mi tarjeta de credito visa|Cat_337
¿cuantas cuotas me faltan pagar?|Cat_101
que es santander rio woman?|Cat_357
quiero acceder a mis movimientos de los últimos dos aaños|Cat_50
tarjeta credito clave|Cat_288
quiero saber si ya estaba hecho un deposito|Cat_50
puedo solicitar un préstamo prendario para comprar un utilitario?|Cat_228
adherí dos veces telefónica al debito automatico en visa  pasó el primer vencimiento y no se pagó|Cat_129
como saco una tarjeta?|Cat_337
hice los pasos para cambiar mi clave mil veces pero me responde que no se puede e intente mas tarde|Cat_1
me gustaria que un asesor se comunique conmigo|Cat_134
simulacion de credito|Cat_251
tendria telefono de la suc pcia de mewndoza?|Cat_91
no tiene saldo tarjeta|Cat_303
queria saber sobre las condiciones para un préstamo prendario para un auto usado|Cat_225
que plazo demora la aprobacion del préstamo hipotecario a partir de que presento la documentacion?|Cat_243
me vuelvo antes  tengo que cambiar el aviso de viaje?|Cat_304
puedo abrirme una cuenta si vivo en el extranjero|Cat_39
tarjeta cobraban algún interés pude pagarla|Cat_349
como se abre una cuenta comitente ?|Cat_169
consulto por los creditos personales|Cat_225
cuánto van a tardar en hacer efectivo un cambio de sucursal?|Cat_66
deseo costo transferir exterior|Cat_31
queria saber como puedo hacer para obtener la credencial para entrar en mi facultad|Cat_359
actualmente tengo mi cuenta sueldo en otro banco . quisiera cambiar a una cuenta que tengo con ustedes .|Cat_72
como hago para la extensión de haberes|Cat_57
solicitar visa prepaga cuanto tardar|Cat_293
préstamo con monotributo|Cat_248
si no me pueden entregar un pedido de superclub. por donde puedo pasar a retirarlo?|Cat_326
necesito autorizar una compra por internet|Cat_283
quiero saber como hago para tener mas credito en la tarjeta visa|Cat_302
estoy intentando comprar un pasaje aereo con la aerolinea etihad. con mi tarjeta de credito visa y amex y no me deja|Cat_283
no sé como cambiar la cuenta desde donde se debita mi amex|Cat_345
necesito cambiar de fecha mi reserva|Cat_70
quierohablar telefono número llamar|Cat_147
pagar tarjeta con cuenta de otro banco|Cat_342
vi que tengo una compra pendiente pero ya la pagué. que tengo que hacer?|Cat_343
cambio contraseña|Cat_1
quisiera saber si puedo adquirir la tarjeta santander rio|Cat_337
telefono para comunicarme con visa|Cat_147
como tramito un prestamo personal?|Cat_223
quiero sacar adelanto|Cat_56
cuales son los beneficios por ser cliente a la hora de solicitar un prestamo hipotecario?|Cat_221
solo por online banking se puede realizar el canje?|Cat_322
querer empezar debitar tarjeta servicio|Cat_106
en que sección puedo simular el préstamo q' quizás necesite?|Cat_251
cuanto debía de mis préstamos|Cat_239
me aparece una deuda en notificaciones como la saldo|Cat_192
quiero actualizar mis datos personales de mi cuenta de caja de ahorros|Cat_103
quiero obtener mi numero de cuenta|Cat_68
donde me llega la monedero?|Cat_305
quisiera averiguar prestamos para tener mi auto. cuanto importe estoy autorizada a pedir y cuotas|Cat_251
refinanciar deuda|Cat_120
que es procrear|Cat_225
cuándo puedo darme de baja de los fci|Cat_175
cobran interés pagar factura tarjeta|Cat_349
como puedo imprimir factura de visa santander ?|Cat_138
cual es el nombre de mi tipo de cuenta|Cat_75
descuentos en micros larga distancia|Cat_359
queria saber cuantos puntos tengo es imposible obtener mi cable y por telefono me es imoosible como puedo hacer para obtener mis puntos|Cat_325
en que momento debo hacer el deposito del préstamo hipotecario para concretar la operación?|Cat_241
pasa pago termino|Cat_349
quiero reclamar por las entradas que canjeé  están separadas|Cat_324
necesito gestionar el plan v y no encuentro como hacerlo en la pagina|Cat_308
como consultar el saldo de mi tarjeta american express|Cat_303
pague demas la tarjeta|Cat_350
como desactivo el debito automatico de mi cuenta|Cat_89
como consigo mi tarjeta nova?|Cat_306
cuanto tarda en llegar el dinero del exterior??|Cat_32
que acciones pagan ganancias?|Cat_177
queria  hacer un reclamos nuevamente|Cat_135
yo quiero saber si ya está abierta mi caja de ahora|Cat_61
me debitaron plata que no se de que es|Cat_115
sigo teniendo la cuenta?|Cat_61
quiero anular un seguro de compra protegida que no pedí|Cat_264
limite de usos diarios de mi visa debito?|Cat_303
quiero ver las compras que hice con la tarjeta en los últimos meses y no sé donde.|Cat_138
descuento sorpresa santander figurar|Cat_312
quiero saber como pago la factura de la luz.|Cat_132
hay alguna forma que pueda depositar dinero en efectivo a mi cuenta?|Cat_110
tu color favorito|Cat_8
si trabajo en negro  me dan un prestamo?|Cat_233
me pidieron que llame para hablar y no se a que numero|Cat_147
conviene comprar letes?|Cat_178
cuál es el horario para hacer un plazo fijo?|Cat_181
quisiera dar de baja el debito automatico|Cat_89
quiero sacar adelanto de haberes|Cat_57
deseo formar parte del equipo santander rio|Cat_102
tengo credito disponible american express|Cat_303
codigo internacional de banco|Cat_34
bajar aplicacion pedir clave usuario|Cat_1
cuales son las condiciones necesarias para el otorgamiento del prestamo hipotecario?|Cat_248
necesito girar descubierto|Cat_56
no encuentro la palabra salir|Cat_0
segumiento producto canjeado|Cat_326
aparece deuda notificaciones saldo|Cat_192
por un cheque que tenía que cobrar de un siniestro. yo queria saber donde está el cheque.|Cat_270
mi marido perdio la tarjeta del cajero|Cat_294
el online homebanking esta caído|Cat_117
seguimiento tramite cotitularidad|Cat_118
consulta por medios de pagos habilitados para pagar la tarjeta|Cat_342
aadvantage venir resumen  tarjeta credito|Cat_277
quiero que me bonifiquen los gastos de la cuenta|Cat_73
puedo anular una transferencia programada?|Cat_81
tienen mal mi numero telefonico|Cat_103
quiero que no me cobren mas adt en la tarjeta|Cat_292
soy clienta y queria saver si me dan un prestamo|Cat_248
equivocado nombre poliza sugerir verificar dato|Cat_267
y como puedo saber que ypf esta adherido a la promocion|Cat_311
estoy desde brasil y queria activar mi tarjeta de ccredito para utilizar en compras|Cat_304
me dejaron un mensaje de voz...del banco santander para que me comunique ...queria saber el motivo|Cat_146
realizar blanqueo de pin|Cat_288
necesitar pagar visa|Cat_342
quiero saber como jubilado nacional y puedo cobrar la jubilacion en el banco.|Cat_63
cómo puedo hacer para que dejen de mandarme el resumen de inversiones?|Cat_179
como hago para financiar el resumen de mis tarjetas de ccredito con plan v?|Cat_308
seguro medico internacional donde lo contrato?|Cat_282
quisiera informacion sobre una caja de seguridad en el banco|Cat_92
transferencia desde online banking|Cat_83
quisiera saber si puedo solicitar un préstamo al no ser cliente del banco|Cat_248
como hacer pagar servicio|Cat_132
mi consulta es por mi tarjeta visa. cuando quiero hacer una compra me solicita que la entidad bancaria apruebe la compra..?|Cat_283
necesito baja pago automatico tarjeta visa|Cat_345
y tenia como saldo en el fondo comun 177000 pesos|Cat_172
como hacer la super cuenta online|Cat_39
consulta saldo de cuenta|Cat_50
robo en domicilio|Cat_265
como genero usuario que dice que esta vencido?|Cat_1
hay algún simulador de credito?|Cat_251
quisiera dar de baja el débito automatico de un seguro de automotor de mi tarjeta de ccredito visa|Cat_292
una vez que el tasador pasó la tasacion de la propiedad al banco  cuales son los pasos a seguir del préstamo hipotecario?|Cat_241
telefono para comunicarme|Cat_147
inicio automatico en app|Cat_2
quisiera saber donde me anoto para el concurso de santander. cobro mi sueldo en este banco|Cat_143
como cambiar nombre que aparece en las tarjetas|Cat_315
reponer tarjeta|Cat_316
se me perdio mi targeta|Cat_294
los datos de la solicitud de un préstamo hipotecario se puede subir a una pagina online?|Cat_223
no se puede simular el préstamo por este medio?|Cat_251
se puede hacer una simulacion del super prestamo personal|Cat_251
reimpresión de tarjeta de ccredito santander|Cat_316
no entiendo lo del toquen|Cat_5
como hago para traspasar mis tarjetas al programa advantage|Cat_299
me decís que te piden para abrir una nueva cuenta?|Cat_39
puedo vender la propiedad y seguir pagando la hipoteca?|Cat_260
querer cerrar cuenta|Cat_41
como saber cuanto saldar pagar visa|Cat_342
a que hora volverá a operar homebanking?|Cat_124
me podrían indicar costo de comisiones de una transferencia desde el exterior|Cat_31
por que no puedo pagar arba inmobiliario a traves de pago mis cuentas|Cat_130
tarjeta debito no llegar|Cat_293
donde hacer un reclamo por una compra con tarjeta que no autorise|Cat_112
puedo solicitar un préstamo personal para refacción de vivienda?|Cat_228
quiero realizar una compra en la tarjeta de débito pero es denegada. cual es el motivo?|Cat_283
soy extranjero puedo solicitar el credito personal|Cat_248
adherir celular debitar tarjeta mes cobrar|Cat_129
soy cliente pero no me habilita la opcion para sacar un prestamo|Cat_197
que puedo hacer para desbloquear la cuenta|Cat_51
consulta como activo mi tarjeta visa con chip?|Cat_301
quiero desconocer gastos en mi tarjeta de debito que no son mios|Cat_112
se pueden retirar dolares por los cajeros automaticos?|Cat_91
de mi cuenta. en dolares. cuanto es el máximo que puedo extraer por cajero y por caja?|Cat_298
necesitaría el numero de telefono de ustedes que termina en|Cat_147
no tengo el ccredito preacordado|Cat_197
quiero saldo cuenta|Cat_50
que renta dan los fondos|Cat_174
de que trata el plazo fijo?|Cat_183
tengo aaños trabajando en la misma empresa pero trabajo en negro|Cat_233
quiero saber si puedo blaquear mi clave de afip por home banking?|Cat_95
estoy intentando generar la clave.|Cat_1
quiero solicitar tarjeta credito visa online permitir|Cat_337
debito duplicar resumir|Cat_129
quiero saber como cancelar un stop debit|Cat_353
pagomiscuentas no me aceptaba realizar lo pagos pendientes  me pedía que obtenga una clave desde un cajero banelco|Cat_131
me debitaron dos veces el pago de tarjeta visa|Cat_350
coincidian monto figurar home banking importar cedulon rentar cordoba urbano|Cat_129
consulta solamente el beneficio es para las tarjetas santander rio visa?|Cat_311
cuales son las maneras para incribirme a procrear?|Cat_200
como me hago cliente del banco ?|Cat_39
holis|Cat_19
deposite un cheque en un autoservicio pero no se acredita el saldo|Cat_109
en que se diferencia el deposito con y sin sobre?|Cat_110
necesito sacar mi tarjeta credito universitaria|Cat_359
problema debitar automatico servcio|Cat_129
que pasa si no puedo pagar la cuota del prestamo prendario?|Cat_240
código de extraccion|Cat_288
adherir debitar cuenta|Cat_132
cual es el mail de atencion al cliente|Cat_29
cómo sacar dinero de un cajero sin tarjeta|Cat_295
pagar home banking lograr|Cat_129
no pude usar la tarjeta ni extraer dinero xq olvidé mi clave.|Cat_288
querer consultar estado enviar tarjeta solicití¬≠|Cat_293
estoy interesado en sacar un credito me podria brindar mas informacion por favor|Cat_225
quiero suscribir un super ahorro plus a|Cat_176
necesito saber por que no se pago mi debito automatico de litoral gas|Cat_129
quiero saber tarifa de la sala work|Cat_149
queria saber como son los prestamos hipotecarios que ofrecen para la compra de una vivienda|Cat_225
quiero sacar una tarjeta|Cat_337
hla una pregnta .quisiera saver si dan prestamos a la asignacion x hijos|Cat_248
en cual red se puede sacar efectivo en europa con amex ?|Cat_298
cómo es el proceso para solicitar un préstamo hipotecario?|Cat_241
quisiera saber porque no puedo solicitar una chequera de pago diferido|Cat_44
cuales son las tasas del super prestamo ipotecario?|Cat_258
quiero saber sobre la cuenta ahorro de santander rio!|Cat_39
no estoy pudiendo entrar en omline banking|Cat_117
como puedo cambiar mi sucursal? en mi perfil no me deja hacerlo|Cat_65
puedo juntar ingresos con un amigo para sacar el prestamo prendario|Cat_254
se pueden adelantar cuoas? hay alguna cantidad maxima?|Cat_246
necesitás información sobre el servicio de asistencia en el hogar?|Cat_265
los consumos anuales de american se pueden ver en algún lado?|Cat_352
cómo creo un nuevo usuarios|Cat_1
necesito ayuda para hacer un plazo fijo|Cat_181
no quiero recibir más el resumen de inversiones|Cat_179
en caso de solicitar un credito hipotecario y no tener cuenta en el banco necesito abrir una?|Cat_241
me debitaron impuestos y sellos pero no sé que es.|Cat_122
queria saber el precio del real|Cat_166
hay un problema con los fondos comunes de inversion|Cat_172
sobre el sorte mensual por ser cliente y cobrar mi sueldo. tengo que anotarme en algun lado o ya estoy participando ?|Cat_143
cual seria el total del mantenimiento de una tarjeta de debito|Cat_96
me equivoque con un plazo fijo y necesito darle de baja|Cat_182
en que momento se pueden licitar letes y lebacs|Cat_156
que numero de sucursal es el banco que esta sobre|Cat_91
comisión custodio|Cat_96
quiero solicitar tarjeta visa signature|Cat_337
fechas de cierre de resumen|Cat_341
quiero rescatar mis fondos de inversion y me da error|Cat_172
me están descontando algo de la cuenta sueldo y no sé que es|Cat_115
no puedo acceder al homebanking esta caido el servidor???|Cat_117
quisiera conocer como calcular mis ingresos para acceder al préstamo hipotecario?|Cat_249
quiero desadherirme a un debito automatico|Cat_292
debo certificar convivencia con mi pareja para un credito prendario?|Cat_254
hoy no pude sacar mi dinero de los cajeros automaticos por me exigen una clave alfabética sin previo aviso|Cat_288
nesecito ultimo movimiento|Cat_50
adheri metrogas a debito automatico. hace dos meses. no me debita el pago y hace dos meses que tengo la factura impaga|Cat_129
quiero gestionarla clave para extracion de efectivo con visa|Cat_288
infinity gold cargo mensual|Cat_96
hoy a la mañana pague la tarjeta santander rio cuando impacta el pago?lo pague|Cat_279
quisiera cargar la documentación que pide el procrear desarrollos urbanisticos|Cat_200
bloquear clave obtener|Cat_1
quiero cotizar mi auto|Cat_261
no cobro en el santander rio puedo igual|Cat_238
cómo hago una denuncia de siniestro|Cat_265
como hago para sacar la tarjeta de coordenadas|Cat_5
tenes un color favorito|Cat_8
quiero saber cómo puedo dar de baja el pago de un servicio en la tarjeta|Cat_292
la clave santander rio es la misma que la del home banking?|Cat_1
ya tengo caja de seguridad quiero incluir a otra persona como titular|Cat_92
no llegue la transferencia a estados unidos|Cat_35
atrase cuotas credito prendario necesito regularizar deuda|Cat_192
tengo que transferir euros a madrid  cuanto me sale?|Cat_31
avisar que hoy voy a hacer el pago de la tarjeta mastercard|Cat_191
un prestamo para una canselacion de auto|Cat_225
existe la posibilidad de cambiar la fecha de pago del resumen de la tarjeta?|Cat_348
la compra de estos pasajes tienen que ser si o si por despegar para que tome la promo de  cuotas?|Cat_311
necesito informacion caja ahorrar|Cat_39
quierotelefono atencion cliente|Cat_147
estoy en brasil y necesitamos usar la tarjeta de credito|Cat_289
que necesito para pagar la tarjeta en rapipago|Cat_342
prestamo tradicional|Cat_225
quiero pedir una extension|Cat_334
quisieron entrar a mi casa y rompieron el vidrio  como tengo que hacer ? que tengo que llevar al banco?|Cat_265
a que numero de telefono hay que llamar por el seguro?|Cat_147
pagar master autoservicio|Cat_342
necesito consultar por el prestamo personal uvas|Cat_225
tengo un problema con el calefón  no funciona. tengo cobertura por eso?|Cat_265
como se calcula el monto de mi proxima cuota del prestamo?|Cat_219
como hago para pagar un impuesto con la tarjeta de credito?|Cat_132
necesito un préstamo cómo son las cuotas si no soy cliente?|Cat_251
resumen de cuenta por factura en usd|Cat_138
que significa un credito hipotecario ?|Cat_204
quiero dar de baja un servicio por debito y no se como hacer|Cat_292
quiero saber como se puede tener los beneficios women|Cat_357
crear clave pueedo validacion|Cat_1
funcionar limites disponible tarjeta santander credito|Cat_303
quiero bajar la app de santander a mi celular|Cat_3
adherí al debito dos facturas diferentes de naturgy pero una no es debitada|Cat_129
había pedido el endoso de una parte de la póliza de vivienda pero queria saber cuándo llega|Cat_266
monotributistas pueden sacar un prestamo?|Cat_248
a cuál de las sucursales debo dirigirme para comprar euros|Cat_166
quiero generar una nueva contraseña|Cat_1
reclamo por cobro de servicios en cuenta sueldo|Cat_97
quiero saber los beneficios de la cuenta sueldo|Cat_72
mail diciendo deuda|Cat_193
cuanto es el monto máximo del prestamo?|Cat_236
canje de entradas|Cat_322
cual es mi sucursal ?|Cat_100
tengo humedad en la pared  el seguro del banco me cubre eso?|Cat_265
debito impuestos y servicios con beneficios|Cat_132
ya no sé cuando me hacen descuento por sorpresa porque no me llegan los mensajes.|Cat_321
como sacar un impuesto de un debito|Cat_292
quiero alquilar una caja de seguridad   como debo hacer?|Cat_92
despues de cargar los datos  como continúo para la solicitud de préstamo hipotecario?|Cat_241
quiero eliminar una tarjeta adicional|Cat_338
desactivar el inicio automatico desde la app|Cat_2
quisiera saber si me pueden dar un préstamo|Cat_248
si estoy atrasada con el pago me cortan la tarjeta?|Cat_349
necesito abrir caja ahorro|Cat_39
quiero comprar acciones|Cat_151
como puedo solicitar el préstamo para la compra de una vivienda|Cat_223
donde encuentro el resumen de consumos del mes ?|Cat_355
necesito modificar el cierre de la tarjeta|Cat_348
seguir envio|Cat_293
traspaso de paquete platinum a black|Cat_40
intentar generar nuevamente clave ingresar arrastrar cursor acercar sucursal pedir clave|Cat_1
puedo depositar un cheque en dolares?|Cat_30
me robaron una rueda del auto  como tengo que hacer con el seguro?|Cat_265
no puedo aceder a mis tendencias desde el homebanking.|Cat_117
que necesito para poder generar un alias del cbu.|Cat_42
saldos en tarjeta master card|Cat_303
dar de baja super club|Cat_299
como debitar el resumen de cuenta de dolares de la tarjeta|Cat_307
quiero adherir municipio de corrientes|Cat_132
quiero ver si puedo vender mis acciones|Cat_154
depositar plata cajero pagar tarjeta|Cat_342
quiero solicitar una caja de seguridad|Cat_92
quiero abonar un servicio de dnrap y no me figura|Cat_132
cómo pido la asistencia si tengo un cortocircuito?|Cat_265
ya hice la gestión para aplicar el seguro pero no me responden|Cat_270
mi saldo en dolares|Cat_50
hay alguna limitación en cuanto a las caracteristicas de la vivienda para préstamo hipotecario?|Cat_211
cuál es el cargo por gestion cheques|Cat_49
que marcas están adheridas|Cat_311
me quieren cambiar a una sucursal que me queda trasmano|Cat_74
como se si me conviene sacar un préstamo prendario|Cat_237
cobro un sueldo básico que cuota de préstamo personal puedo abonar?|Cat_251
cuanto me sale usar advantage?|Cat_276
necesito utizar open credit|Cat_198
monto máximo a transferir|Cat_83
cuándo es la fecha de vencimiento de los lebacs|Cat_158
llamar cobrar comprar|Cat_112
necesitar cancelar pagar travez home banking|Cat_129
tarjeta recargable querer buscar|Cat_293
hice una transferencia en forma erronea|Cat_82
quisiera saber como es el tema de prestamos hipotecarios|Cat_225
me llegue la recargable la tengo que habilitar?|Cat_313
queria canjear por dos vouchers yenny hoy|Cat_322
cual es el porcentaje de afectacion de mi ingreso que esta permitido en un préstamo hipotecario?|Cat_249
me cobraron una tarjeta que ya estaba pago y quiero la devolución|Cat_350
debito automatico tarjeta credito|Cat_87
soy cliente del banco y quiero renovar mi préstamo|Cat_223
quiero hacer un plan de pago|Cat_120
quiero obtener visa credito|Cat_337
calcular super prestamo personal|Cat_251
mi tarjeta no fue enviada como hago un reclamo|Cat_293
solicite la reimpresion de mi tarjeta de debito y todavía no me llego|Cat_293
consulta puede ser que pague impuestos a las ganancias por el plazo fijo|Cat_177
perdi mi credencial de la universidad|Cat_294
monto a recibir por ayuda familiar|Cat_32
quiero información sobre detalles de plazo fijo|Cat_183
quiero ser cliente de santander|Cat_39
quiero pagar para usar mi tarjeta|Cat_192
quiero refinanciar mi deuda con ustedes|Cat_120
tengo problemas para realizar transferencias|Cat_80
perdi mi credencial universitaria|Cat_294
como podia extraer dinero con la tarjeta de debito eny el  exterior|Cat_298
hoy no muestran el resultado de los fondos|Cat_172
como puedo financiar los gastos del prestamo hipotecario?|Cat_231
simulador de compra de autos|Cat_251
necesito pagar un impuesto online y el menu no me deja|Cat_129
tengo límite de tiempo para usar las millas?|Cat_274
imprimir el resumen online de mi tarjeta|Cat_138
cuales son los requisitos para el préstamo procrear?|Cat_248
querer pagar tarjeta amex|Cat_342
que significa este concepto que me descontaron de mi cuenta?|Cat_115
adquirir el ccredito?|Cat_223
debitar pagar minimos tarjeta credito|Cat_38
puedo elegir superclub para una tarjeta y advantage para la otra?|Cat_300
tengo un servicio que se me debitó dos veces y quiero hacer el reverso de uno de esos pagos.|Cat_129
cual es el comprobante de pago si adherí los servicios al debito?|Cat_98
necesito saber los pagos minimos de mis tarjetas|Cat_351
como puedo dar debaja de mi tarjeta los servicios de gas y luz.|Cat_292
becas merito academico|Cat_358
necesito realizar cambio de sucursal de mi cuenta.|Cat_65
cajero tragar plata|Cat_297
no enviar tarjeta|Cat_293
me compre una estufa de tiro balanceado  con el servicio del seguro la colocan?|Cat_265
queria cobro tranferencias|Cat_83
cuál es el monto que me cubren por la asistencia en el seguro?|Cat_265
no recibir tarjeta|Cat_293
se puede pedir la tarjeta de coordenadas de alguna manera que no sea en sucursal?|Cat_5
tarjeta debitar solicitar encontrar retirarla|Cat_293
cuales son los pasos para la aprobacion del préstamo hipotecario?|Cat_241
tuve problemas con un vaucher de recarga|Cat_333
costo de mantenimiento de women|Cat_357
ustedes me están enviando resúmenes de mis inversiones y yo ya hablé para que no|Cat_179
creditos|Cat_225
donde me anoto para participar de la beca|Cat_358
cerrar una cuenta sueldo|Cat_41
generar clave operar home banking|Cat_1
tasas por mantenimiento caja de ahorro sueldos|Cat_96
cajero dinero ticket|Cat_297
necesito cambiar domicilio poliza deber|Cat_267
quiero cambiar mis puntos con despegar y no me permite|Cat_322
no recibi mi resumen visa credito y vence hoy|Cat_138
como puedo ver el.detalle de.todas mis cuotas prestamo prendario|Cat_239
como saber cuanto debo en mi prestamo personal|Cat_239
pedí reiteradas veces que no me llamen y hoy volvieron a insistir. donde me doy de baja?|Cat_136
como chequeo si ya pagué lo de la tarjeta?|Cat_279
como puedo utilizar esto|Cat_10
baja cuenta universia seguir aparecer app|Cat_41
queria avisar tarjeta amex cancelada deuda|Cat_195
acciones nasdaq|Cat_151
me robaron después de salir del cajero|Cat_265
como pido una cuenta titulos?|Cat_169
cuál es mi sucursal?|Cat_100
¿con quien puedo sumar ingresos para pedir un préstamo hipotecario?|Cat_254
quiero obtener resúmenes históricos de cuenta.|Cat_138
hacer comprar exterior tarjeta visa credito querer pagarla peso|Cat_307
¿quisiera saber con que firma de abogados manejan las deudas ?|Cat_190
cual es el tope máximo de capital al que puedo aplicar?|Cat_236
solicité la tarjeta y no me llegue todavia|Cat_293
querer cambiar contraseña|Cat_1
quiero sacar un ccredito|Cat_223
cual es la clave de seguridad para abrir el resumen de la tarjeta por mail|Cat_138
solicitar caja ahorro formar online|Cat_39
cambio de chequera|Cat_44
cuando vence mi plazo fijo|Cat_188
para cancelar el seguro de la vivienda que tengo con el banco santander|Cat_262
s ya tengo terreno  puedo solicitar un préstamo hipotecario?|Cat_228
donde quedan los comprobantes de pagomiscuentas?|Cat_98
necesito saber el saldo de mi tarjeta para operar|Cat_303
twngo un nuevo numero de celular y quiero incorporarlo a mis datos en el banco|Cat_103
q es el permiso santander a terceros q pide la apps|Cat_79
registrarme obtener clave|Cat_1
en donde se modifican las preguntas de seguridad?|Cat_103
consulto si el uso de las salas y el consumo es gratis o donde puedo ver el costo ?|Cat_70
pagar homebanking|Cat_132
como hago para adquirir el préstamo?|Cat_223
quiero sacar un préstamo hipotecario|Cat_223
en donde puedo ver que intereses me van a cobrar por pagar después de la fecha de vencimiento?|Cat_349
disponible tarjeta mastercard|Cat_303
estoy interesado en un prestamo hipotecario|Cat_225
aparecer encontrar|Cat_129
cuanto están pagando el dólar hoy?|Cat_166
quiero cambiar la sucursal barrio de belgrano por la sucursal jose hernandez av. cabildo|Cat_65
para averiguar sobre el préstamo hipotecario debo acercarme a mi sucursal? o solo puedo ir al centro de atención?|Cat_212
número comunicarme tarjeta visa credito|Cat_147
yo tenia una cuenta en santander y queria saber si aun esta activa|Cat_61
fecha de licitación lebacs|Cat_156
necesito pagar iibb|Cat_132
tuve inconvenientes en el cajero con la clave de ingreso de mi tarjeta de débito y la tarjeta quedó inhabilitada. cómo hago para volver a tener clave y poder extraer dinero de mi cuenta de débito?|Cat_288
alguien me puede decir donde tengo que llevar el tv asegurado por este banco|Cat_265
cotización para auto|Cat_251
y quiero consultar cuál es mi deuda??|Cat_99
como genero o blanqueo mi clave fiscal?|Cat_95
como puedo transferir no me permite hacerlo pq debo aceptar términos pero donde es eso?|Cat_79
dudaba sobre si se había debitado de mi cuenta el pago de la tarjeta de ccredito.|Cat_279
que es un cheque rechazado|Cat_47
pongo mis datos para loguearme en la app y no me deja entrar.|Cat_117
las cuotas del hipotecario son fijas?|Cat_219
desde donde anulo una tarjeta me aparece en online banking?|Cat_338
quiero entrar a mi cuenta. movimientos y saldos|Cat_50
se puede aser el simulacro|Cat_251
quisiera ver mi resumen de este mes|Cat_138
que sucede si cambio de empleo y me depositan el sueldo en otro banco?|Cat_238
como puedo sacar un adelanto con la tarjeta visa.|Cat_298
de cuanto serias las cuotas en caso de solicitar|Cat_251
¿es necesario dar de alta la tarjeta una vez que la tengo?|Cat_301
debito automatico de servicio|Cat_132
como se solicita un prestamo y que se presenta?|Cat_223
quiero que una de las tarjetas adicionales tenga un monto mayor para compras|Cat_335
queria saber por los préstamos uva|Cat_225
hoy me entregaron mi tarjeta de credito y queria saber como puedo saber cuanto cupo tengo|Cat_303
donde veo mis debitos automaticos adheridos|Cat_93
podrian decirme el nuevo monto de la cuota del seguro?|Cat_269
que se necesita para que depositen a mi cuenta de ahorro santander|Cat_110
el prestamo hipotecario me lo dan en pesos o en dolares?|Cat_225
queria consultar que es lo que me debitan ley 25413 de 06|Cat_122
queria saber que convenio tienen con la uba. que productos puedo contratar y los beneficios|Cat_359
pagar tarjeta debito debitaron importar|Cat_112
necesito comunicarme con un operador por telefono|Cat_29
apartir de cuanto dinero puedo depositar en un plazo fijo|Cat_181
comuniquense pagar deuda tarjeta visa|Cat_192
como puedo ver el saldo de la tarjeta recargable?|Cat_313
acceder a préstamo personal|Cat_223
como hago para recibir dinero por servicios prestados al exterior?|Cat_32
no me mandan el resumen a casa|Cat_138
clave online banking cajero automatico|Cat_1
cómo me doy de baja de la lista de llamados comerciales?|Cat_136
queria saber si sali sorteada|Cat_144
quiero transferencia realizar|Cat_83
pin blanqueo|Cat_288
como puedo tener mi targeta santander rio?|Cat_337
monto pagar aparece factura papel|Cat_129
necesitaria consultar por el estado de mi tarjeta de credito|Cat_293
el incio automatico en el celular es obligatorio?|Cat_2
quiero saber si teniendo una cta sueldo puedo disponer de un prestamos de $ |Cat_248
cuales son los servicios que no se contemplan en la asistencia al viajero?|Cat_282
quiero denunciar la tarjeta|Cat_294
no entiendo hasta cuando son los descuentos.|Cat_311
hora llamar|Cat_147
solicite traslado de sucursak|Cat_65
comprar tarjeta debitaron|Cat_112
yo a partir del dia cobro la jubilacion en ese banco que beneficios tengo|Cat_63
pedí una renovación del platico porq esta en mal estado|Cat_316
necesito saber cual es la deuda al dia de hoy entre tarjeta de credito y prestamo.|Cat_99
me podés aumentar el limete de tarjeta|Cat_302
quisiera saber si tengo alguna cuota de la tarjeta atrasada|Cat_101
sos una maquina|Cat_26
tengo un problema con mis compras online tengo que autorizar un pago|Cat_283
necesito acentar pago|Cat_195
cual es el valor del real?|Cat_166
queria consultar tarjeta debitar sucursal|Cat_293
y si tengo otro credito tambien me lo pueden otorgar|Cat_218
no se como hacer lo del cambio de puntos|Cat_322
necesito habilitar el descubierto|Cat_57
tuve una reposición de la tarjeta visa  y se dejo de debitar uno de los gastos con debito automatico|Cat_129
negro ahorrar|Cat_39
necesito saber por que en algunos comercios me dice denegada la tarjeta de debito.|Cat_286
tengo que recibir una trasferencia en euros|Cat_32
llamaron legales|Cat_190
tienen el servicio ezeiza vip|Cat_284
reclamo por consumo de tarjeta|Cat_135
quiero cambiar el plástico para participar del programa de american|Cat_299
mi codigo postal esta mal|Cat_103
hay algun beneficio impositivo para los prestamos hipotecarios?|Cat_201
si la inflacion anual es del % el aumento en la cuota del préstamo es directamente proporcional ?|Cat_219
cobrar compra hacer|Cat_112
queria consultar por los puntos que habia generado mi tarjeta y que ya no se visualizaban en la web.|Cat_325
avisar abonar tarjeta|Cat_191
